Inviato;Ricevuto;
48.801603;48.816946;
Inviato;Ricevuto;
48.801505;48.840934;
Inviato;Ricevuto;
48.801520;48.852822;
Inviato;Ricevuto;
48.804801;48.876790;
Inviato;Ricevuto;
48.804822;48.890957;
Inviato;Ricevuto;
48.804801;48.910268;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
59.850513;59.866496;
Inviato;Ricevuto;
59.850512;59.884667;
Inviato;Ricevuto;
59.850544;59.906555;
Inviato;Ricevuto;
59.854527;59.924685;
Inviato;Ricevuto;
59.854527;59.936873;
Inviato;Ricevuto;
59.854529;59.950609;
Inviato;Ricevuto;
59.860506;59.960192;
Inviato;Ricevuto;
59.860591;59.976634;
Inviato;Ricevuto;
59.860708;59.990992;
Inviato;Ricevuto;
59.860658;0.2644;
Inviato;Ricevuto;
59.879116;0.20625;
Inviato;Ricevuto;
59.879107;0.38778;
Inviato;Ricevuto;
59.879081;0.56019;
Inviato;Ricevuto;
59.879081;0.71023;
Inviato;Ricevuto;
5.50485;5.70097;
Inviato;Ricevuto;
5.50497;5.80800;
Inviato;Ricevuto;
5.50515;5.92807;
Inviato;Ricevuto;
5.54495;5.110530;
Inviato;Ricevuto;
5.54488;5.122590;
Inviato;Ricevuto;
5.54493;5.134499;
Inviato;Ricevuto;
5.60677;5.146936;
Inviato;Ricevuto;
5.60680;5.160707;
Inviato;Ricevuto;
5.60884;5.175339;
Inviato;Ricevuto;
5.60700;5.192493;
Inviato;Ricevuto;
5.74645;5.209970;
Inviato;Ricevuto;
5.80855;5.226680;
Inviato;Ricevuto;
5.80973;5.240924;
Inviato;Ricevuto;
5.81017;5.252487;
Inviato;Ricevuto;
52.510017;52.531845;
Inviato;Ricevuto;
52.510007;52.562453;
Inviato;Ricevuto;
52.510036;52.580147;
Inviato;Ricevuto;
52.510019;52.592274;
Inviato;Ricevuto;
52.509938;52.610308;
Inviato;Ricevuto;
52.510023;52.626000;
Inviato;Ricevuto;
52.514628;52.640023;
Inviato;Ricevuto;
52.514531;52.652614;
Inviato;Ricevuto;
52.514529;52.671761;
Inviato;Ricevuto;
52.514536;52.682079;
Inviato;Ricevuto;
52.514626;52.700152;
Inviato;Ricevuto;
52.514800;52.713750;
Inviato;Ricevuto;
52.520148;52.730065;
Inviato;Ricevuto;
52.526187;52.740275;
Inviato;Ricevuto;
2.200088;2.212325;
Inviato;Ricevuto;
2.200059;2.229785;
Inviato;Ricevuto;
2.200081;2.241946;
Inviato;Ricevuto;
2.205713;2.259806;
Inviato;Ricevuto;
2.212855;2.271317;
Inviato;Ricevuto;
2.213259;2.289514;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
Inviato;Ricevuto;
7.193678;7.211916;
Inviato;Ricevuto;
7.199854;7.224442;
Inviato;Ricevuto;
7.200428;7.242757;
Inviato;Ricevuto;
7.205613;7.259884;
Inviato;Ricevuto;
7.205749;7.271717;
Inviato;Ricevuto;
7.211760;7.289561;
Inviato;Ricevuto;
7.211861;7.301676;
Inviato;Ricevuto;
7.211917;7.313649;
Inviato;Ricevuto;
7.224236;7.326296;
Inviato;Ricevuto;
7.224459;7.344007;
Inviato;Ricevuto;
7.229927;7.359807;
Inviato;Ricevuto;
7.243155;7.369835;
Inviato;Ricevuto;
7.243189;7.381672;
Inviato;Ricevuto;
7.260037;7.405919;
Inviato;Ricevuto;
9.439660;9.458984;
Inviato;Ricevuto;
9.439659;9.475727;
Inviato;Ricevuto;
9.439660;9.487880;
Inviato;Ricevuto;
9.446117;9.505579;
Inviato;Ricevuto;
9.446126;9.517883;
Inviato;Ricevuto;
9.446114;9.535480;
Inviato;Ricevuto;
9.446405;9.544667;
Inviato;Ricevuto;
9.446120;9.561928;
Inviato;Ricevuto;
9.451502;9.579182;
Inviato;Ricevuto;
9.451697;9.589718;
Inviato;Ricevuto;
9.463559;9.601635;
Inviato;Ricevuto;
9.475905;9.625792;
Inviato;Ricevuto;
9.475917;9.639607;
Inviato;Ricevuto;
9.476026;9.651495;
Inviato;Ricevuto;
33.598645;33.610432;
Inviato;Ricevuto;
33.598644;33.624746;
Inviato;Ricevuto;
33.610411;33.639029;
Inviato;Ricevuto;
33.610366;33.658309;
