frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"230182","Jun 26, 2024 16:07:07.266619973 CEST","10.22.255.140","172.24.204.146","6","1500","1516"
"230183","Jun 26, 2024 16:07:07.266619973 CEST","10.22.255.140","172.24.204.146","6","2452","2468"
"230184","Jun 26, 2024 16:07:07.266662973 CEST","172.24.204.146","10.22.255.140","6","40","56"
"230185","Jun 26, 2024 16:07:07.266676173 CEST","172.24.204.146","10.22.255.140","6","40","56"
"230186","Jun 26, 2024 16:07:07.266679573 CEST","10.22.255.140","172.24.204.146","6","52","68"
"230187","Jun 26, 2024 16:07:07.266682373 CEST","172.24.204.146","10.22.255.140","6","40","56"
"239097","Jun 26, 2024 16:07:09.279886363 CEST","172.24.204.146","10.22.255.140","6","60","76"
"239329","Jun 26, 2024 16:07:09.334550460 CEST","10.22.255.140","172.24.204.146","6","52","68"
"239330","Jun 26, 2024 16:07:09.334551960 CEST","10.22.255.140","172.24.204.146","6","1500","1516"
"239331","Jun 26, 2024 16:07:09.334664160 CEST","172.24.204.146","10.22.255.140","6","40","56"
"239332","Jun 26, 2024 16:07:09.334691260 CEST","172.24.204.146","10.22.255.140","6","40","56"
"239333","Jun 26, 2024 16:07:09.334735160 CEST","10.22.255.140","172.24.204.146","6","2948","2964"
"239334","Jun 26, 2024 16:07:09.334735260 CEST","10.22.255.140","172.24.204.146","6","52","68"
"239335","Jun 26, 2024 16:07:09.334755660 CEST","172.24.204.146","10.22.255.140","6","40","56"
"239336","Jun 26, 2024 16:07:09.334762360 CEST","172.24.204.146","10.22.255.140","6","40","56"
