Tipo Test,Traffico,RTT,RTT_npt,OTT
NTP,0,0,0.017748355865478516,0.008874177932739258
NTP,0,0,0.030049800872802734,0.015024900436401367
NTP,0,0,0.022822856903076172,0.011411428451538086
NTP,0,0,0.021390438079833984,0.010695219039916992
NTP,0,0,0.017896175384521484,0.008948087692260742
NTP,0,0,0.021094799041748047,0.010547399520874023
NTP,0,0,0.021747589111328125,0.010873794555664062
NTP,0,0,0.018571853637695312,0.009285926818847656
NTP,0,0,0.017977237701416016,0.008988618850708008
NTP,0,0,0.021386146545410156,0.010693073272705078
NTP,0,0,0.021024703979492188,0.010512351989746094
NTP,0,0,0.020936012268066406,0.010468006134033203
NTP,0,0,0.023060321807861328,0.011530160903930664
NTP,0,0,0.022255420684814453,0.011127710342407227
NTP,0,0,0.021854877471923828,0.010927438735961914
NTP,0,0,0.02207040786743164,0.01103520393371582
NTP,0,0,0.015794754028320312,0.007897377014160156
NTP,0,0,0.016553401947021484,0.008276700973510742
NTP,0,0,0.026545047760009766,0.013272523880004883
NTP,0,0,0.021123409271240234,0.010561704635620117
NTP,0,0,0.023349285125732422,0.011674642562866211
NTP,0,0,0.020125865936279297,0.010062932968139648
NTP,0,0,0.020479202270507812,0.010239601135253906
NTP,0,0,0.022212505340576172,0.011106252670288086
NTP,0,0,0.02193164825439453,0.010965824127197266
NTP,0,0,0.021204471588134766,0.010602235794067383
NTP,0,0,0.016429424285888672,0.008214712142944336
NTP,0,0,0.0180816650390625,0.00904083251953125
NTP,0,0,0.021117687225341797,0.010558843612670898
NTP,0,0,0.01748514175415039,0.008742570877075195
NTP,0,0,0.019062519073486328,0.009531259536743164
NTP,0,0,0.01729440689086914,0.00864720344543457
NTP,0,0,0.014262676239013672,0.007131338119506836
NTP,0,0,0.02090311050415039,0.010451555252075195
NTP,0,0,0.02205657958984375,0.011028289794921875
NTP,0,0,0.021543502807617188,0.010771751403808594
NTP,0,0,0.013663291931152344,0.006831645965576172
NTP,0,0,0.01397085189819336,0.00698542594909668
NTP,0,0,0.014771461486816406,0.007385730743408203
NTP,0,0,0.01428079605102539,0.007140398025512695
NTP,0,0,0.017490386962890625,0.008745193481445312
NTP,0,0,0.015197277069091797,0.0075986385345458984
NTP,0,0,0.014537334442138672,0.007268667221069336
NTP,0,0,0.01700878143310547,0.008504390716552734
NTP,0,0,0.018544673919677734,0.009272336959838867
NTP,0,0,0.018647193908691406,0.009323596954345703
NTP,0,0,0.017927169799804688,0.008963584899902344
NTP,0,0,0.014017105102539062,0.007008552551269531
NTP,0,0,0.026422977447509766,0.013211488723754883
NTP,0,0,0.016597747802734375,0.008298873901367188
NTP,0,0,0.01826333999633789,0.009131669998168945
NTP,0,0,0.026130199432373047,0.013065099716186523
NTP,0,0,0.018063068389892578,0.009031534194946289
NTP,0,0,0.02167510986328125,0.010837554931640625
NTP,0,0,0.02108144760131836,0.01054072380065918
NTP,0,0,0.020853042602539062,0.010426521301269531
NTP,0,0,0.02201700210571289,0.011008501052856445
NTP,0,0,0.020953655242919922,0.010476827621459961
NTP,0,0,0.02208232879638672,0.01104116439819336
NTP,0,0,0.021680355072021484,0.010840177536010742
NTP,0,0,0.013123512268066406,0.006561756134033203
NTP,0,0,0.017448902130126953,0.008724451065063477
NTP,0,0,0.013143062591552734,0.006571531295776367
NTP,0,0,0.021228313446044922,0.010614156723022461
NTP,0,0,0.015968799591064453,0.007984399795532227
NTP,0,0,0.020497798919677734,0.010248899459838867
NTP,0,0,0.02197885513305664,0.01098942756652832
NTP,0,0,0.012380599975585938,0.006190299987792969
NTP,0,0,0.0216827392578125,0.01084136962890625
NTP,0,0,0.020696640014648438,0.010348320007324219
NTP,0,0,0.02135324478149414,0.01067662239074707
NTP,0,0,0.021020889282226562,0.010510444641113281
NTP,0,0,0.016882896423339844,0.008441448211669922
NTP,0,0,0.016552448272705078,0.008276224136352539
NTP,0,0,0.05228137969970703,0.026140689849853516
NTP,0,0,0.02136087417602539,0.010680437088012695
NTP,0,0,0.021391868591308594,0.010695934295654297
NTP,0,0,0.017373085021972656,0.008686542510986328
NTP,0,0,0.022318363189697266,0.011159181594848633
NTP,0,0,0.01709890365600586,0.00854945182800293
NTP,0,0,0.0176544189453125,0.00882720947265625
NTP,0,0,0.013536453247070312,0.006768226623535156
NTP,0,0,0.02193927764892578,0.01096963882446289
NTP,0,0,0.021608352661132812,0.010804176330566406
NTP,0,0,0.017862319946289062,0.008931159973144531
NTP,0,0,0.02129650115966797,0.010648250579833984
NTP,0,0,0.01733112335205078,0.00866556167602539
NTP,0,0,0.030637264251708984,0.015318632125854492
NTP,0,0,0.01631927490234375,0.008159637451171875
NTP,0,0,0.017596721649169922,0.008798360824584961
