Tipo_Test,Traffico,RTT
echo,0,0.01970815658569336
echo,0,0.01018214225769043
echo,0,0.01935863494873047
echo,0,0.019961833953857422
echo,0,0.01995992660522461
echo,0,0.019452333450317383
echo,0,0.010535478591918945
echo,0,0.019420146942138672
echo,0,0.010125875473022461
echo,0,0.019418716430664062
echo,0,0.010405778884887695
echo,0,0.011540651321411133
echo,0,0.01760244369506836
echo,0,0.01052403450012207
echo,0,0.019226551055908203
echo,0,0.010553598403930664
echo,0,0.019119977951049805
echo,0,0.010412931442260742
echo,0,0.019779682159423828
echo,0,0.019674062728881836
echo,0,0.0196993350982666
echo,0,0.01997089385986328
echo,0,0.019817829132080078
echo,0,0.01988363265991211
echo,0,0.019573688507080078
echo,0,0.01989006996154785
echo,0,0.019789695739746094
echo,0,0.01967930793762207
echo,0,0.019693613052368164
echo,0,0.01940464973449707
echo,0,0.020325183868408203
echo,0,0.01920485496520996
echo,0,0.019656896591186523
echo,0,0.010899066925048828
echo,0,0.018874168395996094
echo,0,0.010671615600585938
echo,0,0.01906728744506836
echo,0,0.01962423324584961
echo,0,0.019934892654418945
echo,0,0.019607067108154297
echo,0,0.010310173034667969
echo,0,0.019263029098510742
echo,0,0.019922971725463867
echo,0,0.019624948501586914
echo,0,0.0198671817779541
echo,0,0.010536909103393555
echo,0,0.018670082092285156
echo,0,0.011118650436401367
echo,0,0.019084692001342773
echo,0,0.0195772647857666
echo,0,0.019875288009643555
echo,0,0.010204553604125977
echo,0,0.019687652587890625
echo,0,0.019633054733276367
echo,0,0.010632038116455078
echo,0,0.019810199737548828
echo,0,0.019151926040649414
echo,0,0.01952838897705078
echo,0,0.020308971405029297
echo,0,0.010416746139526367
echo,0,0.018842220306396484
echo,0,0.010390758514404297
echo,0,0.011499166488647461
echo,0,0.01785421371459961
echo,0,0.019765853881835938
echo,0,0.010853052139282227
echo,0,0.019014596939086914
echo,0,0.010149478912353516
echo,0,0.019397735595703125
echo,0,0.01973748207092285
echo,0,0.010480642318725586
echo,0,0.019366741180419922
echo,0,0.010540485382080078
echo,0,0.01916813850402832
echo,0,0.01985764503479004
echo,0,0.02052927017211914
echo,0,0.019591569900512695
echo,0,0.020014524459838867
echo,0,0.01991105079650879
echo,0,0.01952981948852539
echo,0,0.019182920455932617
echo,0,0.019901514053344727
echo,0,0.010256767272949219
echo,0,0.019716978073120117
echo,0,0.019954442977905273
echo,0,0.01963067054748535
echo,0,0.02037835121154785
echo,0,0.019137144088745117
echo,0,0.019881248474121094
echo,0,0.01985478401184082
echo,0,0.019829988479614258
echo,0,0.019791364669799805
echo,0,0.02039933204650879
echo,0,0.019608020782470703
echo,0,0.01944446563720703
echo,0,0.019262313842773438
echo,0,0.011189460754394531
echo,0,0.018091201782226562
echo,0,0.010772943496704102
echo,0,0.01955270767211914
Intervallo: 0.5 s,0,0.019156932830810547
Intervallo: 0.5 s,0,0.018583297729492188
Intervallo: 0.5 s,0,0.018499374389648438
Intervallo: 0.5 s,0,0.017678499221801758
Intervallo: 0.5 s,0,0.017737150192260742
Intervallo: 0.5 s,0,0.017696142196655273
Intervallo: 0.5 s,0,0.01675581932067871
Intervallo: 0.5 s,0,0.01756906509399414
Intervallo: 0.5 s,0,0.016112804412841797
Intervallo: 0.5 s,0,0.01571369171142578
Intervallo: 1 s,0,0.014973640441894531
Intervallo: 1 s,0,0.015086650848388672
Intervallo: 1 s,0,0.01423025131225586
Intervallo: 1 s,0,0.014125585556030273
Intervallo: 1 s,0,0.013007879257202148
Intervallo: 1 s,0,0.012392044067382812
Intervallo: 1 s,0,0.020468473434448242
Intervallo: 1 s,0,0.011473655700683594
Intervallo: 1 s,0,0.020567893981933594
Intervallo: 1 s,0,0.019443511962890625
Intervallo: 2 s,0,0.019395112991333008
Intervallo: 2 s,0,0.0188291072845459
Intervallo: 2 s,0,0.01843881607055664
Intervallo: 2 s,0,0.017841339111328125
Intervallo: 2 s,0,0.017203092575073242
Intervallo: 2 s,0,0.01730966567993164
Intervallo: 2 s,0,0.016979694366455078
Intervallo: 2 s,0,0.01595330238342285
Intervallo: 2 s,0,0.016506195068359375
Intervallo: 2 s,0,0.015336751937866211
Intervallo: 3 s,0,0.015336751937866211
Intervallo: 3 s,0,0.014650583267211914
Intervallo: 3 s,0,0.013958930969238281
Intervallo: 3 s,0,0.013116836547851562
Intervallo: 3 s,0,0.01302194595336914
Intervallo: 3 s,0,0.012982368469238281
Intervallo: 3 s,0,0.02225661277770996
Intervallo: 3 s,0,0.0205228328704834
Intervallo: 3 s,0,0.019613027572631836
Intervallo: 3 s,0,0.02005624771118164
Intervallo: 4 s,0,0.019181251525878906
Intervallo: 4 s,0,0.019270658493041992
Intervallo: 4 s,0,0.017784595489501953
Intervallo: 4 s,0,0.01764512062072754
Intervallo: 4 s,0,0.017330408096313477
Intervallo: 4 s,0,0.016492843627929688
Intervallo: 4 s,0,0.01632976531982422
Intervallo: 4 s,0,0.01604485511779785
Intervallo: 4 s,0,0.014978647232055664
Intervallo: 4 s,0,0.014564990997314453
Intervallo: 5 s,0,0.01479959487915039
Intervallo: 5 s,0,0.014032125473022461
Intervallo: 5 s,0,0.012558460235595703
Intervallo: 5 s,0,0.012657642364501953
