frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"13405","Jul  4, 2024 10:45:13.991282765 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13406","Jul  4, 2024 10:45:13.991294565 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13407","Jul  4, 2024 10:45:13.991304766 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13408","Jul  4, 2024 10:45:13.991304966 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13409","Jul  4, 2024 10:45:13.991579768 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13410","Jul  4, 2024 10:45:13.991580168 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13411","Jul  4, 2024 10:45:13.991580168 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13412","Jul  4, 2024 10:45:13.991713469 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13413","Jul  4, 2024 10:45:13.991734269 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13414","Jul  4, 2024 10:45:13.991782269 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13415","Jul  4, 2024 10:45:13.991782469 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13416","Jul  4, 2024 10:45:13.992137472 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13417","Jul  4, 2024 10:45:13.997191609 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13418","Jul  4, 2024 10:45:13.997192209 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13419","Jul  4, 2024 10:45:13.997192309 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13420","Jul  4, 2024 10:45:13.997192409 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13421","Jul  4, 2024 10:45:13.997192509 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13422","Jul  4, 2024 10:45:13.997238310 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13423","Jul  4, 2024 10:45:13.997265110 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13424","Jul  4, 2024 10:45:13.997815314 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13425","Jul  4, 2024 10:45:13.997932515 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13426","Jul  4, 2024 10:45:14.003045053 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13427","Jul  4, 2024 10:45:14.003045353 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13428","Jul  4, 2024 10:45:14.003045453 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13429","Jul  4, 2024 10:45:14.003078353 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13430","Jul  4, 2024 10:45:14.003096153 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13431","Jul  4, 2024 10:45:14.003502556 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13432","Jul  4, 2024 10:45:14.009192898 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13433","Jul  4, 2024 10:45:14.009193498 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13434","Jul  4, 2024 10:45:14.009193598 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13435","Jul  4, 2024 10:45:14.009252399 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13436","Jul  4, 2024 10:45:14.009273899 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13437","Jul  4, 2024 10:45:14.009839403 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
