frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"5406","Jul  4, 2024 10:46:37.342137127 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5407","Jul  4, 2024 10:46:37.347776328 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5408","Jul  4, 2024 10:46:37.347776428 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5409","Jul  4, 2024 10:46:37.347776428 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5410","Jul  4, 2024 10:46:37.347776428 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5411","Jul  4, 2024 10:46:37.347785828 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5412","Jul  4, 2024 10:46:37.347791128 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5413","Jul  4, 2024 10:46:37.347927228 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5414","Jul  4, 2024 10:46:37.347932428 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5415","Jul  4, 2024 10:46:37.353819729 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5416","Jul  4, 2024 10:46:37.353819829 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5417","Jul  4, 2024 10:46:37.353819829 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5418","Jul  4, 2024 10:46:37.353827229 CEST","172.24.204.146","10.22.255.154","6","804","818"
"5419","Jul  4, 2024 10:46:37.359795430 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5420","Jul  4, 2024 10:46:37.359795530 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5421","Jul  4, 2024 10:46:37.359795630 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5422","Jul  4, 2024 10:46:37.359795630 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5423","Jul  4, 2024 10:46:37.359795630 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5424","Jul  4, 2024 10:46:37.365882230 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5425","Jul  4, 2024 10:46:37.365882230 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5426","Jul  4, 2024 10:46:37.365882330 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5427","Jul  4, 2024 10:46:37.365882330 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5428","Jul  4, 2024 10:46:37.371806631 CEST","10.22.255.154","172.24.204.146","6","60","74"
"5429","Jul  4, 2024 10:46:37.371806731 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5430","Jul  4, 2024 10:46:37.371806831 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5431","Jul  4, 2024 10:46:37.371806831 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5432","Jul  4, 2024 10:46:37.371859431 CEST","172.24.204.146","10.22.255.154","6","52","66"
"5433","Jul  4, 2024 10:46:37.371956131 CEST","172.24.204.146","10.22.255.154","6","1552","1566"
"5434","Jul  4, 2024 10:46:37.377897432 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5435","Jul  4, 2024 10:46:37.377897432 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5436","Jul  4, 2024 10:46:37.377897532 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5437","Jul  4, 2024 10:46:37.383795632 CEST","10.22.255.154","172.24.204.146","6","52","66"
