Inviato,Ricevuto,PackSize,Traffico,RTT
26.268363,26.268467,128,20M,104
27.268721,27.268820,256,20M,99
28.269089,28.269208,512,20M,119
29.269923,29.270068,1024,20M,145
30.270312,30.270498,1500,20M,186
31.270653,31.270772,8,20M,119
41.271271,41.271398,16,20M,127
51.271912,51.272142,32,20M,230
1.272284,1.272437,64,20M,153
11.272555,11.272672,128,20M,117
21.272829,21.272906,256,20M,77
31.273237,31.273459,512,20M,222
41.273672,41.273822,1024,20M,150
51.274087,51.274301,1500,20M,214
21.344944,21.365053,8,100K,20109
21.845164,21.864709,16,100K,19545
22.345359,22.365589,32,100K,20230
22.845591,22.864613,64,100K,19022
23.345724,23.364697,128,100K,18973
23.845949,23.865406,256,100K,19457
24.346205,24.364731,512,100K,18526
24.846402,24.865217,1024,100K,18815
25.346634,25.364925,1500,100K,18291
25.846801,25.846861,8,100K,60
26.846954,26.847044,16,100K,90
27.847124,27.847177,32,100K,53
28.847315,28.847369,64,100K,54
29.847490,29.847564,128,100K,74
30.847761,30.847820,256,100K,59
31.847899,31.847988,512,100K,89
32.848023,32.848074,1024,100K,51
33.848197,33.848248,1500,100K,51
34.848373,34.848435,8,100K,62
44.848605,44.848668,16,100K,63
54.848815,54.848912,32,100K,97
4.848945,4.849003,64,100K,58
14.849067,14.849108,128,100K,41
24.849278,24.849342,256,100K,64
34.849466,34.849519,512,100K,53
44.849653,44.849710,1024,100K,57
54.849848,54.849913,1500,100K,65
8.847979,8.848203,8,100K,224
9.348204,9.348261,16,100K,57
9.848446,9.848496,32,100K,50
10.348572,10.348633,64,100K,61
10.848746,10.848797,128,100K,51
11.348917,11.348969,256,100K,52
11.849044,11.849106,512,100K,62
12.349259,12.349376,1024,100K,117
12.849487,12.849553,1500,100K,66
13.349641,13.349700,8,100K,59
14.349883,14.349931,16,100K,48
15.350057,15.350108,32,100K,51
16.350249,16.350304,64,100K,55
17.350389,17.350446,128,100K,57
18.350616,18.350688,256,100K,72
19.350910,19.350993,512,100K,83
20.351096,20.351157,1024,100K,61
21.351229,21.351282,1500,100K,53
22.351454,22.351538,8,100K,84
32.351632,32.351684,16,100K,52
42.351821,42.351879,32,100K,58
52.352065,52.352124,64,100K,59
2.352241,2.352297,128,100K,56
12.352384,12.352437,256,100K,53
22.352570,22.352623,512,100K,53
32.352755,32.352822,1024,100K,67
42.352985,42.353038,1500,100K,53
18.776145,18.792121,8,1M,15976
19.276330,19.292308,16,1M,15978
19.776511,19.791966,32,1M,15455
20.276666,20.292271,64,1M,15605
20.776805,20.791320,128,1M,14515
21.276944,21.292537,256,1M,15593
21.777194,21.791903,512,1M,14709
22.277384,22.296852,1024,1M,19468
22.777640,22.796718,1500,1M,19078
23.277878,23.277933,8,1M,55
24.278059,24.278126,16,1M,67
25.278280,25.278345,32,1M,65
26.278488,26.278553,64,1M,65
27.278701,27.278764,128,1M,63
28.278982,28.279067,256,1M,85
29.279157,29.279232,512,1M,75
30.279353,30.279434,1024,1M,81
31.279493,31.279550,1500,1M,57
32.279666,32.279741,8,1M,75
42.279833,42.279925,16,1M,92
52.280027,52.280085,32,1M,58
2.280317,2.280393,64,1M,76
12.280509,12.280593,128,1M,84
22.280655,22.280751,256,1M,96
32.280839,32.280912,512,1M,73
42.281027,42.281085,1024,1M,58
52.281257,52.281333,1500,1M,76
9.730835,9.731061,8,1M,226
10.231063,10.231124,16,1M,61
10.731260,10.731325,32,1M,65
11.231387,11.231446,64,1M,59
11.731615,11.731689,128,1M,74
12.231731,12.231784,256,1M,53
12.731883,12.732050,512,1M,167
13.232054,13.232128,1024,1M,74
13.732204,13.732260,1500,1M,56
14.232329,14.232377,8,1M,48
15.232521,15.232659,16,1M,138
16.232693,16.232746,32,1M,53
17.232807,17.232861,64,1M,54
18.232958,18.233032,128,1M,74
19.233124,19.233184,256,1M,60
20.233249,20.233310,512,1M,61
21.233464,21.233591,1024,1M,127
22.233686,22.233736,1500,1M,50
23.233813,23.233857,8,1M,44
33.233971,33.234050,16,1M,79
43.234146,43.234198,32,1M,52
53.234327,53.234382,64,1M,55
3.234496,3.234566,128,1M,70
13.234707,13.234785,256,1M,78
23.234829,23.234879,512,1M,50
33.235028,33.235103,1024,1M,75
43.235209,43.235263,1500,1M,54
9.415890,9.428799,8,8M,12909
9.916066,9.945339,16,8M,29273
10.416304,10.469406,32,8M,53102
10.916702,10.995386,64,8M,78684
11.416846,11.429316,128,8M,12470
11.917046,11.929515,256,8M,12469
12.417244,12.435195,512,8M,17951
12.917445,12.959374,1024,8M,41929
13.417662,13.485301,1500,8M,67639
13.917840,13.928732,8,8M,10892
14.918093,14.931550,16,8M,13457
15.918251,15.975343,32,8M,57092
16.918444,16.929457,64,8M,11013
17.918694,17.939311,128,8M,20617
18.918870,18.989110,256,8M,70240
19.919151,19.938258,512,8M,19107
20.919349,20.955158,1024,8M,35809
21.919482,21.981214,1500,8M,61732
22.919660,22.938381,8,8M,18721
32.919913,32.938386,16,8M,18473
42.920102,42.974828,32,8M,54726
52.920296,52.934734,64,8M,14438
2.920426,2.938014,128,8M,17588
12.920605,12.988408,256,8M,67803
22.920886,22.954328,512,8M,33442
32.921117,32.938174,1024,8M,17057
42.921275,42.943983,1500,8M,22708
53.427334,53.427406,8,8M,72
53.927544,53.927667,16,8M,123
54.427787,54.427839,32,8M,52
54.927958,54.928024,64,8M,66
55.428093,55.428151,128,8M,58
55.928298,55.928375,256,8M,77
56.428496,56.428560,512,8M,64
56.928725,56.928770,1024,8M,45
57.428850,57.428904,1500,8M,54
57.929109,57.929186,8,8M,77
58.929285,58.929332,16,8M,47
59.929492,59.929614,32,8M,122
0.929737,0.929793,64,8M,56
1.929928,1.929980,128,8M,52
2.930111,2.930162,256,8M,51
3.930303,3.930352,512,8M,49
4.930480,4.930586,1024,8M,106
5.930648,5.930702,1500,8M,54
6.930877,6.930939,8,8M,62
16.931102,16.931164,16,8M,62
26.931227,26.931276,32,8M,49
36.931364,36.931414,64,8M,50
46.931507,46.931571,128,8M,64
56.931638,56.931681,256,8M,43
6.931853,6.931910,512,8M,57
16.932071,16.932129,1024,8M,58
26.932264,26.932314,1500,8M,50
23.90349,23.121721,8,10M,31372
23.590515,23.607541,16,10M,17026
24.90650,24.121669,32,10M,31019
24.590909,24.651694,64,10M,60785
25.91116,25.165621,128,10M,74505
25.591323,25.605984,256,10M,14661
26.91495,26.111611,512,10M,20116
26.591729,26.639579,1024,10M,47850
27.92028,27.161674,1500,10M,69646
27.592272,27.605219,8,10M,12947
28.592541,28.625893,16,10M,33352
29.592678,29.663638,32,10M,70960
30.592875,30.621585,64,10M,28710
31.593101,31.675649,128,10M,82548
32.593271,32.611662,256,10M,18391
33.593485,33.663570,512,10M,70085
34.593610,34.605532,1024,10M,11922
35.593825,35.651873,1500,10M,58048
36.594004,36.605103,8,10M,11099
46.594263,46.669648,16,10M,75385
56.594476,56.625199,32,10M,30723
6.594617,6.614645,64,10M,20028
16.594793,16.651104,128,10M,56311
26.595014,26.614959,256,10M,19945
36.595145,36.620731,512,10M,25586
46.595408,46.644786,1024,10M,49378
56.595650,56.613733,1500,10M,18083
7.546036,7.546325,8,10M,289
8.46292,8.46340,16,10M,48
8.546481,8.546532,32,10M,51
9.46708,9.46768,64,10M,60
9.546891,9.546933,128,10M,42
10.47040,10.47085,256,10M,45
10.547243,10.547314,512,10M,71
11.47431,11.47476,1024,10M,45
11.547673,11.547818,1500,10M,145
12.47985,12.48062,8,10M,77
13.48182,13.48231,16,10M,49
14.48407,14.48452,32,10M,45
15.48571,15.48631,64,10M,60
16.48768,16.48827,128,10M,59
17.48989,17.49027,256,10M,38
18.49178,18.49223,512,10M,45
19.49379,19.49434,1024,10M,55
20.49560,20.49617,1500,10M,57
21.49736,21.49863,8,10M,127
31.49925,31.49977,16,10M,52
41.50097,41.50144,32,10M,47
51.50363,51.50420,64,10M,57
1.50547,1.50594,128,10M,47
11.50799,11.50883,256,10M,84
21.50966,21.51039,512,10M,73
31.51111,31.51164,1024,10M,53
41.51287,41.51333,1500,10M,46
2.699057,2.883070,8,20M,184013
3.199397,3.405105,16,20M,205708
3.699563,3.930910,32,20M,231347
4.199880,4.459080,64,20M,259200
4.700169,4.981591,128,20M,281422
5.200563,5.507119,256,20M,306556
5.701255,6.35230,512,20M,666025
6.201582,6.562897,1024,20M,361315
6.701824,7.82928,1500,20M,618896
7.202165,7.612609,8,20M,410444
8.202380,8.658800,16,20M,456420
9.202595,9.710806,32,20M,508211
10.202913,10.763065,64,20M,560152
11.203151,11.825102,128,20M,621951
12.203582,12.860690,256,20M,657108
13.203814,13.932819,512,20M,729005
14.204116,15.79006,1024,20M,125110
15.204737,16.244527,1500,20M,960210
41.980800,43.86589,8,20M,894211
47.286032,48.400746,8,20M,885286
8.517094,9.720475,8,20M,796619
24.714259,26.297989,8,20M,1416270
53.776308,53.987878,8,20M,211570
54.576713,54.825559,16,20M,248846
55.376952,55.665412,32,20M,288460
56.177341,56.503695,64,20M,326354
56.977775,57.343656,128,20M,1634119
57.778461,58.190014,256,20M,588447
58.578850,59.23655,512,20M,555195
59.379156,59.868022,1024,20M,488866
0.179420,0.707777,1500,20M,528357
0.979828,1.117877,8,20M,1861951
1.980307,1.981015,16,20M,708
2.980776,2.980894,32,20M,118
3.981051,3.981177,64,20M,126
4.981478,4.981584,128,20M,106
5.981917,5.982010,256,20M,93
6.982235,7.85496,512,20M,1896739
7.982744,8.407470,1024,20M,1575274
8.983201,9.539509,1500,20M,1443692
9.983510,10.307227,8,20M,1676283
