frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"1","Jul  4, 2024 10:50:52.331653472 CEST","172.24.204.146","10.22.255.154","6","60","74"
"2","Jul  4, 2024 10:50:52.350656270 CEST","10.22.255.154","172.24.204.146","6","60","74"
"3","Jul  4, 2024 10:50:52.350708470 CEST","172.24.204.146","10.22.255.154","6","52","66"
"4","Jul  4, 2024 10:50:52.350842870 CEST","172.24.204.146","10.22.255.154","6","89","103"
"5","Jul  4, 2024 10:50:52.361665069 CEST","10.22.255.154","172.24.204.146","6","52","66"
"6","Jul  4, 2024 10:50:52.361676169 CEST","10.22.255.154","172.24.204.146","6","53","67"
"7","Jul  4, 2024 10:50:52.361681669 CEST","172.24.204.146","10.22.255.154","6","52","66"
"8","Jul  4, 2024 10:50:52.361860169 CEST","172.24.204.146","10.22.255.154","6","56","70"
"9","Jul  4, 2024 10:50:52.361865269 CEST","172.24.204.146","10.22.255.154","6","195","209"
"10","Jul  4, 2024 10:50:52.364339869 CEST","172.24.204.146","10.22.255.154","6","60","74"
"11","Jul  4, 2024 10:50:52.373184868 CEST","10.22.255.154","172.24.204.146","6","52","66"
"12","Jul  4, 2024 10:50:52.381133568 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13","Jul  4, 2024 10:50:52.381134068 CEST","10.22.255.154","172.24.204.146","6","52","66"
"14","Jul  4, 2024 10:50:52.381169068 CEST","10.22.255.154","172.24.204.146","6","53","67"
"15","Jul  4, 2024 10:50:52.381300768 CEST","10.22.255.154","172.24.204.146","6","60","74"
"16","Jul  4, 2024 10:50:52.381386568 CEST","172.24.204.146","10.22.255.154","6","52","66"
"17","Jul  4, 2024 10:50:52.381413668 CEST","172.24.204.146","10.22.255.154","6","60","74"
"18","Jul  4, 2024 10:50:52.381571268 CEST","172.24.204.146","10.22.255.154","6","60","74"
"19","Jul  4, 2024 10:50:52.391524467 CEST","10.22.255.154","172.24.204.146","6","60","74"
"20","Jul  4, 2024 10:50:52.391617967 CEST","172.24.204.146","10.22.255.154","6","52","66"
"21","Jul  4, 2024 10:50:52.391743667 CEST","172.24.204.146","10.22.255.154","6","89","103"
"22","Jul  4, 2024 10:50:52.402849166 CEST","10.22.255.154","172.24.204.146","6","52","66"
"23","Jul  4, 2024 10:50:52.402849566 CEST","10.22.255.154","172.24.204.146","6","60","74"
"24","Jul  4, 2024 10:50:52.402876866 CEST","172.24.204.146","10.22.255.154","6","52","66"
"25","Jul  4, 2024 10:50:52.403171166 CEST","172.24.204.146","10.22.255.154","6","52","66"
"26","Jul  4, 2024 10:50:52.410976265 CEST","10.22.255.154","172.24.204.146","6","52","66"
"27","Jul  4, 2024 10:50:52.421059965 CEST","10.22.255.154","172.24.204.146","6","52","66"
"28","Jul  4, 2024 10:50:52.421104365 CEST","172.24.204.146","10.22.255.154","6","52","66"
"29","Jul  4, 2024 10:50:52.437338663 CEST","172.24.204.146","10.22.255.154","6","52","66"
"30","Jul  4, 2024 10:50:52.451156962 CEST","10.22.255.154","172.24.204.146","6","54","68"
"31","Jul  4, 2024 10:50:52.451168962 CEST","172.24.204.146","10.22.255.154","6","52","66"
"32","Jul  4, 2024 10:50:52.451465162 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"33","Jul  4, 2024 10:50:52.451476162 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"34","Jul  4, 2024 10:50:52.451718162 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"35","Jul  4, 2024 10:50:52.451725462 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"36","Jul  4, 2024 10:50:52.451863562 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"37","Jul  4, 2024 10:50:52.466247361 CEST","10.22.255.154","172.24.204.146","6","52","66"
"38","Jul  4, 2024 10:50:52.466247461 CEST","10.22.255.154","172.24.204.146","6","52","66"
"39","Jul  4, 2024 10:50:52.466247561 CEST","10.22.255.154","172.24.204.146","6","52","66"
"40","Jul  4, 2024 10:50:52.466264861 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"41","Jul  4, 2024 10:50:52.466271461 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"42","Jul  4, 2024 10:50:52.466474061 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"43","Jul  4, 2024 10:50:52.470713961 CEST","10.22.255.154","172.24.204.146","6","52","66"
"44","Jul  4, 2024 10:50:52.470714061 CEST","10.22.255.154","172.24.204.146","6","52","66"
"45","Jul  4, 2024 10:50:52.470714161 CEST","10.22.255.154","172.24.204.146","6","52","66"
"46","Jul  4, 2024 10:50:52.470714161 CEST","10.22.255.154","172.24.204.146","6","52","66"
"47","Jul  4, 2024 10:50:52.470723661 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
