frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"48","Jul  4, 2024 10:50:52.470728361 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"49","Jul  4, 2024 10:50:52.470967261 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"50","Jul  4, 2024 10:50:52.470994461 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"51","Jul  4, 2024 10:50:52.471724561 CEST","172.24.204.146","10.22.255.154","6","60","74"
"52","Jul  4, 2024 10:50:52.477075360 CEST","10.22.255.154","172.24.204.146","6","52","66"
"53","Jul  4, 2024 10:50:52.477075860 CEST","10.22.255.154","172.24.204.146","6","52","66"
"54","Jul  4, 2024 10:50:52.477075960 CEST","10.22.255.154","172.24.204.146","6","52","66"
"55","Jul  4, 2024 10:50:52.477113460 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"56","Jul  4, 2024 10:50:52.477131160 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"57","Jul  4, 2024 10:50:52.477503360 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"58","Jul  4, 2024 10:50:52.482719260 CEST","10.22.255.154","172.24.204.146","6","52","66"
"59","Jul  4, 2024 10:50:52.482734860 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"60","Jul  4, 2024 10:50:52.488644559 CEST","10.22.255.154","172.24.204.146","6","52","66"
"61","Jul  4, 2024 10:50:52.488644659 CEST","10.22.255.154","172.24.204.146","6","52","66"
"62","Jul  4, 2024 10:50:52.488644659 CEST","10.22.255.154","172.24.204.146","6","52","66"
"63","Jul  4, 2024 10:50:52.488644659 CEST","10.22.255.154","172.24.204.146","6","52","66"
"64","Jul  4, 2024 10:50:52.488644759 CEST","10.22.255.154","172.24.204.146","6","52","66"
"65","Jul  4, 2024 10:50:52.488656959 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"66","Jul  4, 2024 10:50:52.488663059 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"67","Jul  4, 2024 10:50:52.488820059 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"68","Jul  4, 2024 10:50:52.488826059 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"69","Jul  4, 2024 10:50:52.488956559 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"70","Jul  4, 2024 10:50:52.488962459 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"71","Jul  4, 2024 10:50:52.494646459 CEST","10.22.255.154","172.24.204.146","6","52","66"
"72","Jul  4, 2024 10:50:52.494646559 CEST","10.22.255.154","172.24.204.146","6","52","66"
"73","Jul  4, 2024 10:50:52.494646559 CEST","10.22.255.154","172.24.204.146","6","60","74"
"74","Jul  4, 2024 10:50:52.494646559 CEST","10.22.255.154","172.24.204.146","6","52","66"
"75","Jul  4, 2024 10:50:52.494656059 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"76","Jul  4, 2024 10:50:52.494660359 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"77","Jul  4, 2024 10:50:52.494724559 CEST","172.24.204.146","10.22.255.154","6","52","66"
"78","Jul  4, 2024 10:50:52.494832859 CEST","172.24.204.146","10.22.255.154","6","68","82"
"79","Jul  4, 2024 10:50:52.494895959 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"80","Jul  4, 2024 10:50:52.494900359 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"81","Jul  4, 2024 10:50:52.494905359 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"82","Jul  4, 2024 10:50:52.500728758 CEST","10.22.255.154","172.24.204.146","6","52","66"
"83","Jul  4, 2024 10:50:52.500728858 CEST","10.22.255.154","172.24.204.146","6","52","66"
"84","Jul  4, 2024 10:50:52.500728858 CEST","10.22.255.154","172.24.204.146","6","52","66"
"85","Jul  4, 2024 10:50:52.500736858 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"86","Jul  4, 2024 10:50:52.500741658 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"87","Jul  4, 2024 10:50:52.500954758 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"88","Jul  4, 2024 10:50:52.500959158 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"89","Jul  4, 2024 10:50:52.506713658 CEST","10.22.255.154","172.24.204.146","6","52","66"
"90","Jul  4, 2024 10:50:52.506713758 CEST","10.22.255.154","172.24.204.146","6","52","66"
"91","Jul  4, 2024 10:50:52.506713758 CEST","10.22.255.154","172.24.204.146","6","52","66"
"92","Jul  4, 2024 10:50:52.506713758 CEST","10.22.255.154","172.24.204.146","6","52","66"
"93","Jul  4, 2024 10:50:52.506722358 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"94","Jul  4, 2024 10:50:52.506729558 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"95","Jul  4, 2024 10:50:52.506731658 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"96","Jul  4, 2024 10:50:52.506905258 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"97","Jul  4, 2024 10:50:52.512783057 CEST","10.22.255.154","172.24.204.146","6","52","66"
"98","Jul  4, 2024 10:50:52.512783157 CEST","10.22.255.154","172.24.204.146","6","52","66"
"99","Jul  4, 2024 10:50:52.512783157 CEST","10.22.255.154","172.24.204.146","6","52","66"
"100","Jul  4, 2024 10:50:52.512783157 CEST","10.22.255.154","172.24.204.146","6","52","66"
"101","Jul  4, 2024 10:50:52.512783157 CEST","10.22.255.154","172.24.204.146","6","52","66"
"102","Jul  4, 2024 10:50:52.512783257 CEST","10.22.255.154","172.24.204.146","6","52","66"
"103","Jul  4, 2024 10:50:52.512783257 CEST","10.22.255.154","172.24.204.146","6","52","66"
"104","Jul  4, 2024 10:50:52.512783257 CEST","10.22.255.154","172.24.204.146","6","52","66"
"105","Jul  4, 2024 10:50:52.512792857 CEST","172.24.204.146","10.22.255.154","6","4396","4410"
"106","Jul  4, 2024 10:50:52.512798757 CEST","172.24.204.146","10.22.255.154","6","5844","5858"
"107","Jul  4, 2024 10:50:52.512802257 CEST","172.24.204.146","10.22.255.154","6","5844","5858"
"108","Jul  4, 2024 10:50:52.512807957 CEST","10.22.255.154","172.24.204.146","6","52","66"
"109","Jul  4, 2024 10:50:52.512979757 CEST","172.24.204.146","10.22.255.154","6","2252","2266"
"110","Jul  4, 2024 10:50:52.518688257 CEST","10.22.255.154","172.24.204.146","6","52","66"
"111","Jul  4, 2024 10:50:52.518688357 CEST","10.22.255.154","172.24.204.146","6","52","66"
"112","Jul  4, 2024 10:50:52.518688357 CEST","10.22.255.154","172.24.204.146","6","52","66"
"113","Jul  4, 2024 10:50:52.518688357 CEST","10.22.255.154","172.24.204.146","6","52","66"
"114","Jul  4, 2024 10:50:52.518688457 CEST","10.22.255.154","172.24.204.146","6","52","66"
"115","Jul  4, 2024 10:50:52.518688457 CEST","10.22.255.154","172.24.204.146","6","52","66"
"116","Jul  4, 2024 10:50:52.518700157 CEST","10.22.255.154","172.24.204.146","6","52","66"
"117","Jul  4, 2024 10:50:52.518833757 CEST","10.22.255.154","172.24.204.146","6","68","82"
"118","Jul  4, 2024 10:50:52.518838857 CEST","172.24.204.146","10.22.255.154","6","52","66"
"119","Jul  4, 2024 10:50:52.519054457 CEST","172.24.204.146","10.22.255.154","6","52","66"
"120","Jul  4, 2024 10:50:52.524679956 CEST","10.22.255.154","172.24.204.146","6","52","66"
"121","Jul  4, 2024 10:50:52.524680056 CEST","10.22.255.154","172.24.204.146","6","52","66"
"122","Jul  4, 2024 10:50:52.524680056 CEST","10.22.255.154","172.24.204.146","6","52","66"
"123","Jul  4, 2024 10:50:52.524692356 CEST","10.22.255.154","172.24.204.146","6","52","66"
"124","Jul  4, 2024 10:50:52.524692356 CEST","10.22.255.154","172.24.204.146","6","52","66"
"125","Jul  4, 2024 10:50:52.524727856 CEST","10.22.255.154","172.24.204.146","6","52","66"
"126","Jul  4, 2024 10:50:52.530709356 CEST","10.22.255.154","172.24.204.146","6","52","66"
"127","Jul  4, 2024 10:50:52.530709456 CEST","10.22.255.154","172.24.204.146","6","52","66"
"128","Jul  4, 2024 10:50:52.530709456 CEST","10.22.255.154","172.24.204.146","6","52","66"
"129","Jul  4, 2024 10:50:52.530709556 CEST","10.22.255.154","172.24.204.146","6","52","66"
"130","Jul  4, 2024 10:50:52.530709556 CEST","10.22.255.154","172.24.204.146","6","52","66"
"131","Jul  4, 2024 10:50:52.530709556 CEST","10.22.255.154","172.24.204.146","6","52","66"
"132","Jul  4, 2024 10:50:52.530709556 CEST","10.22.255.154","172.24.204.146","6","52","66"
"133","Jul  4, 2024 10:50:52.536728756 CEST","10.22.255.154","172.24.204.146","6","52","66"
"134","Jul  4, 2024 10:50:52.536728856 CEST","10.22.255.154","172.24.204.146","6","52","66"
"135","Jul  4, 2024 10:50:52.536728856 CEST","10.22.255.154","172.24.204.146","6","52","66"
"136","Jul  4, 2024 10:50:52.536728956 CEST","10.22.255.154","172.24.204.146","6","52","66"
"137","Jul  4, 2024 10:50:52.536728956 CEST","10.22.255.154","172.24.204.146","6","52","66"
"138","Jul  4, 2024 10:50:52.536728956 CEST","10.22.255.154","172.24.204.146","6","52","66"
"139","Jul  4, 2024 10:50:52.536728956 CEST","10.22.255.154","172.24.204.146","6","52","66"
"140","Jul  4, 2024 10:50:52.536729056 CEST","10.22.255.154","172.24.204.146","6","52","66"
"141","Jul  4, 2024 10:50:52.536749156 CEST","172.24.204.146","10.22.255.154","6","52","66"
"142","Jul  4, 2024 10:50:52.536763156 CEST","10.22.255.154","172.24.204.146","6","52","66"
"143","Jul  4, 2024 10:50:52.536763256 CEST","10.22.255.154","172.24.204.146","6","52","66"
"144","Jul  4, 2024 10:50:52.542669155 CEST","10.22.255.154","172.24.204.146","6","52","66"
"145","Jul  4, 2024 10:50:52.542669355 CEST","10.22.255.154","172.24.204.146","6","52","66"
"146","Jul  4, 2024 10:50:52.542669355 CEST","10.22.255.154","172.24.204.146","6","52","66"
"147","Jul  4, 2024 10:50:52.542669355 CEST","10.22.255.154","172.24.204.146","6","52","66"
"148","Jul  4, 2024 10:50:52.542669455 CEST","10.22.255.154","172.24.204.146","6","52","66"
"149","Jul  4, 2024 10:50:52.542669455 CEST","10.22.255.154","172.24.204.146","6","52","66"
"150","Jul  4, 2024 10:50:52.542669455 CEST","10.22.255.154","172.24.204.146","6","52","66"
"151","Jul  4, 2024 10:50:52.542669455 CEST","10.22.255.154","172.24.204.146","6","52","66"
"152","Jul  4, 2024 10:50:52.542683655 CEST","10.22.255.154","172.24.204.146","6","52","66"
"153","Jul  4, 2024 10:50:52.548770655 CEST","10.22.255.154","172.24.204.146","6","52","66"
"154","Jul  4, 2024 10:50:52.548770755 CEST","10.22.255.154","172.24.204.146","6","52","66"
"155","Jul  4, 2024 10:50:52.548770755 CEST","10.22.255.154","172.24.204.146","6","52","66"
"156","Jul  4, 2024 10:50:52.548770755 CEST","10.22.255.154","172.24.204.146","6","52","66"
"157","Jul  4, 2024 10:50:52.548770855 CEST","10.22.255.154","172.24.204.146","6","52","66"
"158","Jul  4, 2024 10:50:52.548770855 CEST","10.22.255.154","172.24.204.146","6","52","66"
"159","Jul  4, 2024 10:50:52.548770855 CEST","10.22.255.154","172.24.204.146","6","52","66"
"160","Jul  4, 2024 10:50:52.554719054 CEST","10.22.255.154","172.24.204.146","6","52","66"
"161","Jul  4, 2024 10:50:52.554719154 CEST","10.22.255.154","172.24.204.146","6","52","66"
"162","Jul  4, 2024 10:50:52.554719254 CEST","10.22.255.154","172.24.204.146","6","52","66"
"163","Jul  4, 2024 10:50:52.556746354 CEST","172.24.204.146","10.22.255.154","6","60","74"
"164","Jul  4, 2024 10:50:52.570846053 CEST","10.22.255.154","172.24.204.146","6","60","74"
"165","Jul  4, 2024 10:50:52.570879653 CEST","172.24.204.146","10.22.255.154","6","52","66"
"166","Jul  4, 2024 10:50:52.571017153 CEST","172.24.204.146","10.22.255.154","6","84","98"
"167","Jul  4, 2024 10:50:52.582627952 CEST","10.22.255.154","172.24.204.146","6","52","66"
"168","Jul  4, 2024 10:50:52.582628052 CEST","10.22.255.154","172.24.204.146","6","84","98"
"169","Jul  4, 2024 10:50:52.582653552 CEST","172.24.204.146","10.22.255.154","6","52","66"
"170","Jul  4, 2024 10:50:52.582863652 CEST","172.24.204.146","10.22.255.154","6","52","66"
"171","Jul  4, 2024 10:50:52.590786351 CEST","10.22.255.154","172.24.204.146","6","52","66"
"172","Jul  4, 2024 10:50:52.602640250 CEST","10.22.255.154","172.24.204.146","6","52","66"
"173","Jul  4, 2024 10:50:52.602660350 CEST","172.24.204.146","10.22.255.154","6","52","66"
"174","Jul  4, 2024 10:50:52.620599649 CEST","172.24.204.146","10.22.255.154","6","60","74"
"175","Jul  4, 2024 10:50:52.631339548 CEST","10.22.255.154","172.24.204.146","6","60","74"
"176","Jul  4, 2024 10:50:52.631371948 CEST","172.24.204.146","10.22.255.154","6","52","66"
"177","Jul  4, 2024 10:50:52.631454948 CEST","172.24.204.146","10.22.255.154","6","116","130"
"178","Jul  4, 2024 10:50:52.642611047 CEST","10.22.255.154","172.24.204.146","6","52","66"
"179","Jul  4, 2024 10:50:52.642611147 CEST","10.22.255.154","172.24.204.146","6","116","130"
"180","Jul  4, 2024 10:50:52.642619247 CEST","172.24.204.146","10.22.255.154","6","52","66"
"181","Jul  4, 2024 10:50:52.642821347 CEST","172.24.204.146","10.22.255.154","6","52","66"
"182","Jul  4, 2024 10:50:52.650770647 CEST","10.22.255.154","172.24.204.146","6","52","66"
"183","Jul  4, 2024 10:50:52.662615346 CEST","10.22.255.154","172.24.204.146","6","52","66"
"184","Jul  4, 2024 10:50:52.662632446 CEST","172.24.204.146","10.22.255.154","6","52","66"
"185","Jul  4, 2024 10:50:52.680447844 CEST","172.24.204.146","10.22.255.154","6","60","74"
"186","Jul  4, 2024 10:50:52.691267743 CEST","10.22.255.154","172.24.204.146","6","60","74"
"187","Jul  4, 2024 10:50:52.691299143 CEST","172.24.204.146","10.22.255.154","6","52","66"
"188","Jul  4, 2024 10:50:52.691403543 CEST","172.24.204.146","10.22.255.154","6","180","194"
"189","Jul  4, 2024 10:50:52.702691642 CEST","10.22.255.154","172.24.204.146","6","52","66"
"190","Jul  4, 2024 10:50:52.702691642 CEST","10.22.255.154","172.24.204.146","6","180","194"
"191","Jul  4, 2024 10:50:52.702699642 CEST","172.24.204.146","10.22.255.154","6","52","66"
"192","Jul  4, 2024 10:50:52.702872942 CEST","172.24.204.146","10.22.255.154","6","52","66"
"193","Jul  4, 2024 10:50:52.710770442 CEST","10.22.255.154","172.24.204.146","6","52","66"
"194","Jul  4, 2024 10:50:52.722623641 CEST","10.22.255.154","172.24.204.146","6","52","66"
"195","Jul  4, 2024 10:50:52.722639741 CEST","172.24.204.146","10.22.255.154","6","52","66"
"196","Jul  4, 2024 10:50:52.740231840 CEST","172.24.204.146","10.22.255.154","6","60","74"
"197","Jul  4, 2024 10:50:52.751478639 CEST","10.22.255.154","172.24.204.146","6","60","74"
"198","Jul  4, 2024 10:50:52.751510239 CEST","172.24.204.146","10.22.255.154","6","52","66"
"199","Jul  4, 2024 10:50:52.751637239 CEST","172.24.204.146","10.22.255.154","6","308","322"
"200","Jul  4, 2024 10:50:52.762709938 CEST","10.22.255.154","172.24.204.146","6","52","66"
"201","Jul  4, 2024 10:50:52.762710038 CEST","10.22.255.154","172.24.204.146","6","308","322"
"202","Jul  4, 2024 10:50:52.762718238 CEST","172.24.204.146","10.22.255.154","6","52","66"
"203","Jul  4, 2024 10:50:52.762874438 CEST","172.24.204.146","10.22.255.154","6","52","66"
"204","Jul  4, 2024 10:50:52.770882637 CEST","10.22.255.154","172.24.204.146","6","52","66"
"205","Jul  4, 2024 10:50:52.782669936 CEST","10.22.255.154","172.24.204.146","6","52","66"
"206","Jul  4, 2024 10:50:52.782684636 CEST","172.24.204.146","10.22.255.154","6","52","66"
"207","Jul  4, 2024 10:50:52.799740135 CEST","172.24.204.146","10.22.255.154","6","60","74"
"208","Jul  4, 2024 10:50:52.811438634 CEST","10.22.255.154","172.24.204.146","6","60","74"
"209","Jul  4, 2024 10:50:52.811474134 CEST","172.24.204.146","10.22.255.154","6","52","66"
"210","Jul  4, 2024 10:50:52.811588134 CEST","172.24.204.146","10.22.255.154","6","564","578"
"211","Jul  4, 2024 10:50:52.830698432 CEST","10.22.255.154","172.24.204.146","6","52","66"
"212","Jul  4, 2024 10:50:52.830698532 CEST","10.22.255.154","172.24.204.146","6","564","578"
"213","Jul  4, 2024 10:50:52.830707332 CEST","172.24.204.146","10.22.255.154","6","52","66"
"214","Jul  4, 2024 10:50:52.830884132 CEST","172.24.204.146","10.22.255.154","6","52","66"
"215","Jul  4, 2024 10:50:52.834593332 CEST","10.22.255.154","172.24.204.146","6","52","66"
"216","Jul  4, 2024 10:50:52.841633132 CEST","10.22.255.154","172.24.204.146","6","52","66"
"217","Jul  4, 2024 10:50:52.841679732 CEST","172.24.204.146","10.22.255.154","6","52","66"
"218","Jul  4, 2024 10:50:52.871215629 CEST","172.24.204.146","10.22.255.154","6","60","74"
"219","Jul  4, 2024 10:50:52.881444128 CEST","10.22.255.154","172.24.204.146","6","60","74"
"220","Jul  4, 2024 10:50:52.881514828 CEST","172.24.204.146","10.22.255.154","6","52","66"
"221","Jul  4, 2024 10:50:52.881575128 CEST","172.24.204.146","10.22.255.154","6","1076","1090"
"222","Jul  4, 2024 10:50:52.901305327 CEST","10.22.255.154","172.24.204.146","6","52","66"
"223","Jul  4, 2024 10:50:52.901305527 CEST","10.22.255.154","172.24.204.146","6","1076","1090"
"224","Jul  4, 2024 10:50:52.901345827 CEST","172.24.204.146","10.22.255.154","6","52","66"
"225","Jul  4, 2024 10:50:52.901513327 CEST","172.24.204.146","10.22.255.154","6","52","66"
"226","Jul  4, 2024 10:50:52.912672726 CEST","10.22.255.154","172.24.204.146","6","52","66"
"227","Jul  4, 2024 10:50:52.912689526 CEST","172.24.204.146","10.22.255.154","6","52","66"
"228","Jul  4, 2024 10:50:52.920931125 CEST","10.22.255.154","172.24.204.146","6","52","66"
"229","Jul  4, 2024 10:50:52.938572024 CEST","172.24.204.146","10.22.255.154","6","60","74"
"230","Jul  4, 2024 10:50:52.951356323 CEST","10.22.255.154","172.24.204.146","6","60","74"
"231","Jul  4, 2024 10:50:52.951403323 CEST","172.24.204.146","10.22.255.154","6","52","66"
"232","Jul  4, 2024 10:50:52.951484823 CEST","172.24.204.146","10.22.255.154","6","1552","1566"
"233","Jul  4, 2024 10:50:52.966391622 CEST","10.22.255.154","172.24.204.146","6","52","66"
"234","Jul  4, 2024 10:50:52.966391722 CEST","10.22.255.154","172.24.204.146","6","52","66"
"235","Jul  4, 2024 10:50:52.966391722 CEST","10.22.255.154","172.24.204.146","6","1552","1566"
"236","Jul  4, 2024 10:50:52.966402822 CEST","172.24.204.146","10.22.255.154","6","52","66"
"237","Jul  4, 2024 10:50:52.966509422 CEST","172.24.204.146","10.22.255.154","6","52","66"
"238","Jul  4, 2024 10:50:52.976629721 CEST","10.22.255.154","172.24.204.146","6","52","66"
"239","Jul  4, 2024 10:50:52.982596720 CEST","10.22.255.154","172.24.204.146","6","52","66"
"240","Jul  4, 2024 10:50:52.982606620 CEST","172.24.204.146","10.22.255.154","6","52","66"
"241","Jul  4, 2024 10:50:53.500439280 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"242","Jul  4, 2024 10:50:53.500449680 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"243","Jul  4, 2024 10:50:53.501150880 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"244","Jul  4, 2024 10:50:53.501178880 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"245","Jul  4, 2024 10:50:53.501401880 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"246","Jul  4, 2024 10:50:53.516252978 CEST","10.22.255.154","172.24.204.146","6","52","66"
"247","Jul  4, 2024 10:50:53.516252978 CEST","10.22.255.154","172.24.204.146","6","52","66"
"248","Jul  4, 2024 10:50:53.516253078 CEST","10.22.255.154","172.24.204.146","6","52","66"
"249","Jul  4, 2024 10:50:53.516266278 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"250","Jul  4, 2024 10:50:53.516271278 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"251","Jul  4, 2024 10:50:53.516536578 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"252","Jul  4, 2024 10:50:53.520748878 CEST","10.22.255.154","172.24.204.146","6","52","66"
"253","Jul  4, 2024 10:50:53.520748978 CEST","10.22.255.154","172.24.204.146","6","52","66"
"254","Jul  4, 2024 10:50:53.520748978 CEST","10.22.255.154","172.24.204.146","6","52","66"
"255","Jul  4, 2024 10:50:53.520759878 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"256","Jul  4, 2024 10:50:53.520767978 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"257","Jul  4, 2024 10:50:53.520791278 CEST","10.22.255.154","172.24.204.146","6","52","66"
"258","Jul  4, 2024 10:50:53.520955778 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"259","Jul  4, 2024 10:50:53.520960378 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"260","Jul  4, 2024 10:50:53.526718478 CEST","10.22.255.154","172.24.204.146","6","52","66"
"261","Jul  4, 2024 10:50:53.526718578 CEST","10.22.255.154","172.24.204.146","6","52","66"
"262","Jul  4, 2024 10:50:53.526718578 CEST","10.22.255.154","172.24.204.146","6","52","66"
"263","Jul  4, 2024 10:50:53.526729878 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"264","Jul  4, 2024 10:50:53.526737678 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"265","Jul  4, 2024 10:50:53.526969578 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"266","Jul  4, 2024 10:50:53.532713677 CEST","10.22.255.154","172.24.204.146","6","52","66"
"267","Jul  4, 2024 10:50:53.532713777 CEST","10.22.255.154","172.24.204.146","6","52","66"
"268","Jul  4, 2024 10:50:53.532724177 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"269","Jul  4, 2024 10:50:53.532731677 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"270","Jul  4, 2024 10:50:53.532735677 CEST","10.22.255.154","172.24.204.146","6","52","66"
"271","Jul  4, 2024 10:50:53.532782277 CEST","10.22.255.154","172.24.204.146","6","52","66"
"272","Jul  4, 2024 10:50:53.532782377 CEST","10.22.255.154","172.24.204.146","6","52","66"
"273","Jul  4, 2024 10:50:53.533079277 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"274","Jul  4, 2024 10:50:53.533084077 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"275","Jul  4, 2024 10:50:53.533341777 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
